product_category_name_english,orders,revenue,avg_price,order_percentage
bed_bath_table,9267,1022955.77,93.46329556875286,9.63275573526813
health_beauty,8610,1229557.5,130.49856718318827,8.949824849536917
sports_leisure,7512,952661.4,113.23682396291454,7.808488300780642
computers_accessories,6517,887944.6,116.36018870397065,6.774217020259243
furniture_decor,6258,706237.17,87.24362816553429,6.504994646736588
housewares,5734,614341.62,90.57078283945157,5.960313087949441
watches_gifts,5489,1163187.91,198.73362549120108,5.7056432751577395
telephony,4086,309631.94,70.02079149706016,4.247268796191387
auto,3801,577721.09,139.85017913338174,3.9510202384541024
toys,3781,466990.99,116.60199500624219,3.93023086598131
